title,author,abstract,discipline,date_of_publication
"Fusarium Wilt Disease of Eggplant:  Farmers’ Socio-Demographic Characteristics, Farming History, Awareness and Perception in Major Eggplant Growing Areas of Ghana",Edmund Owusu; Charles Kwoseh; Enoch Osekre; Emmanuel Duku; Barnabas Adongo; Eric Gyasi,"Fusarium wilt disease causes losses to eggplants in many parts of Ghana. However, information about farmers’ appreciation and management of the disease is limited.In this study, farmers’ socio-demographic characteristics, farming history, awareness and perception of Fusarium wilt disease of eggplants in some major eggplant growing areas in the Ashanti, Eastern and Volta Regions of Ghana were determined. Purposive sampling was used to select major eggplant-producing communities, and the snowball technique was employed to identify eggplant farmers. A structured questionnaire aided with pictures of Fusarium-infected eggplant was used to inquire for information from 750 farmers in the three regions; 250 from each region and 50 from each of the 5 communities selected in each region. The farmers in the three regions had similar socio-demographic characteristics and knowledge of the Fusarium wilt disease of eggplants. Farmers were mostly within the age group of 30 years to 50 years, and 63% had formal education. Land preparation was mainly manual, except for some parts of the Volta region that used tractors. Mixed cropping with other vegetables and crop rotation with cereals was most practised. Farmer-selected seeds were the major planting materials. Wilt symptoms were a common observation of farmers in all the regions. However, the majority were oblivious of the cause and source of the disease and, therefore, were unable to apply appropriate management methods. 
Farmers could not estimate losses caused by Fusarium wilt disease and, therefore, were not keen on management methods.",Agriculture Sciences,11/23/2023
Effects of Different Levels of a Locally Made Probiotic (BiolatemTM ) Administered Through Drinking Water on Growth Performance of Broiler Chickens,Francisco Kanyinji; Harrison Lungu; Jonas Wiza Ng'ambi; Kolawale Odubute; Josep Simbaya; Oswin C Chibinga,"This    study    aimed    at    determining    the   growth   performance   of   broiler   chickens  offered  varying  amounts  of a locally made probiotic (Biolatem™) in  drinking  water.  One  hundred  and  ninety-two  (192)  day-old  chicks  were  bought   from   a   local   hatchery   and   divided  into  four  groups  (n  =  48). The  groups  were  randomly  allocated  to  four  levels  of  Biolatem™ viadrinking water (i.e., 0, 5, 8 and 10mL of  Biolatem™  per  5L  of  drinking water).  Both  the  water  and  feed  were  offered  to  the  birds  in  all  treatment groups ad libitum from 0 – to 42 days of  age.  Feed  and  water  intake  were  monitored   daily,   and   body   weights   were assessed at 0, 7, 14, 21, 28, 35 and 42 days of age. Weight gains and feed conversion ratios were calculated weekly. Generally, birds that received Biolatem™ in water showed higher (p < 0.05) total weight gains, daily weight gains and final body weights at 42 days of age than those that consumed water without Biolatem™. Among birds that received  Biolatem™,  those  offered 8mL of Biolatem™ per 5L of drinking water  had  better  performance  (p",Agriculture Sciences,11/27/2023
Investigating Practices Predisposing Fish Farmers to Malaria Infection: An Analytical Cross Section Survey of Mongu and Limulunga Districts of Western Province of Zambia,Ellah Zingani; Lungowe M Nakweba,"Malaria is a parasitic disease transmitted between humans through the bite of the infected female Anopheles mosquito.    Zambia  has  recently  experienced a   growing   demand   for   fish,  which is  largely  triggered  by  the  growing  population   and   an   emergent   urban   middle  class  within  Zambia  and neighbouring  countries.  Various  fish farming     practices     are     conducted     on small-scale, smallholder and commercial levels. Western Province is among the provinces in Zambia where fish farming is done. In 2014, Zambia became   the   sixth   largest   producer   of  farmed  fish  (mainly  breams  –  a local  name  for  tilapia)  in  Africa  and  the  largest  in  the  Southern  African  Development  Community  (SADC) between  2012  and  2015.  From  2012  to  2015,  malaria  prevalence  started to  increase  from  12.6%  to  15.6% in  the  Western  Province  of  Zambia. This  study  set  out  to  investigate  the practices of fish farmers that predispose them  to  malaria  infection  in  Mongu and  Limulunga  districts  of  Western Province  of  Zambia. An  interviewer-administered  questionnaire  was  used  as  the  data  collection  tool. Data  was  analysed  using  Statistical  Package  for  Social Sciences (SPSS) version 22. Out of a total of 75 fish farmers, 83% of the participants had good knowledge of   malaria,   while   17%   had   poor   knowledge,  and  an  association  was  found between the two highest levels of education (Tertiary and Secondary) and  knowledge  of  malaria  according  to  the  chi-squared  test  (p",Biomedical Sciences,12/6/2023
Reproductive Performance of Semi-Intensively Managed Dairy Herd in Zambia,Kolawole Odubote; Mayoba Barbara Moono,"This  study  was  undertaken  to  provide  empirical  evidence for some reproductive performance traits in  a  dairy  herd  managed  under  a  semi-intensive  production system in Zambia. Milk production and calving records on 106 milking cows were analysed over  a  12-year  period  involving  Friesian,  Jersey,  Friesian x Jersey, Friesian x Simmental and Jersey x  Sussex  breeds.  With  an  average  parity  order  of  4.4, the average total milk production per lactation,  average daily milk production, calving interval, and calving  rate  were  1,996  ±  493.5Kg,    7.9  ±  2.6Kg,  473.1  ±  138.5  days,  and  77.2%  respectively.  Milk  production  was  significantly  higher  from  mid November  to  April  compared  to  other  months  and  this corresponds to the significant seasonal effect observed.  A  significant  breed  effect  was  found with  total  milk  yield  per  lactation  and  average  milk yield. There were significant parity effects on average daily milk production and calving interval. However, there was no significant breed effect on the calving interval. The correlation of average milk yield with calving interval was -0.26, and the parity order  with  average  milk  yield  was  0.65.  Friesian  x   Jersey   crossbred   showed   heterosis   for   milk   production  (48.3%)  and  calving  interval  (11.4%).  Breeding  strategies  can,  therefore,  be  targeted  at  using Jersey x Friesian crossbred for the emergent smallholder farmers",Agriculture Sciences,5/7/2024
The In vitro Biological Activity Testing of Vitex doniana Bark Extract and Virosa Root Extract Against Taenia Solium Metacestodes,Victoria Michelo Musale; Simbarashe Chitanga; Kabemba Evans Mwape,"Taenia solium, the pork tapeworm, is a foodborne parasite of global concern affecting more than 50 million people globally with more than 80% of these being in the developing world. Infection of the brain with larval stages (metacestodes) leads to neurocysticercosis, a leading cause of epilepsy in endemic areas of the world where pig rearing is common. People in pig rearing communities rely on local herbs for their primary health care. Exploring the use of these herbs as anthelminthics will give insights into the biological activity of locally available herbs and open up avenues for more research on local herbs. The objective of this study was to determine the in-vitro anthelminthic activity of locally used anti-parasitic herbs namely Vitex doniana bark extract and Flueggea virosa root extract against T. solium metacestodes.
An experimental in-vitro study using intact T. solium metacestodes with full bladder walls was conducted to check for cysticidal activity of the locally available herbs of V. doniana bark extract and F. virosa outer root cover extract. Non-evagination of metacestodes at incubation, post-treatment was used as indicator of activity of the extract against the metacestode. Treatment with praziquantel was used as a positive control. The herbs (V. doniana and F. virosa) and drug extracts (Praziqauntel) were tested in five different concentrations. 
Vitex doniana at concentration of 50µg/ml resulted in evagination of 64%, while F. virosa had 52% at the same concentration. Vitex doniana and F. virosa showed a dose dependent response, in that the higher the dose the higher the biological activity. This study showed an association between T. solium metacestodes response to V. doniana and praziquantel (Chi square = 29.63 versus tabulated value 3.84) indicating that there was an association between exposure of metacestodes to the treatment of V. doniana and Praziquantel. The same was observed with F. virosa and praziquantel (Chi square = 42.28).
Vitex doniana showed more biological activity than F. virosa, but both had at least biological activities above 50%.  This shows that both herbs have potential to be anthelmintics against T. solium metacestodes, and are recommended to be explored further in animal models for activity against the adult tapeworm.",Biomedical Sciences,6/6/2024
Risk Factors Associated with Mortality of Breast Cancer Patients After Surgery: The Case of Zambia,Justin Mulope; Banda Amos,"Breast   Cancer   (BC)   has   become   a   public   health   problem  worldwide  due  to  its  high  mortality  rate  among  women  in  both  developed  and  developing  countries.  The  association  between  BC  mortality  and  patient  care  and  personal  factors  has  been  widely  studied in developed countries. However, scarce data regarding  BC  mortality  and  its  prognostic  factors  is  available  in  Zambia.  This  research  aimed  to  identify  the factors affecting survival rates and to estimate a 5-year mortality of BC patients after surgery.
Retrospective data was collected from medical records of patients from the Cancer Diseases Hospital (CDH) in Lusaka, Zambia. The records encompassed 233 women who had undergone BC surgery between 2013 and 2018 and were followed up until the end of 2019. Prognostic factors of BC mortality after surgery using  a  Logistic  regression  model  were  determined.  The most commonly used statistic of comparison was the Odds Ratio (OR). Further, 5-year mortality rates for various age groups were estimated using the fitted model.
Age  at  surgery,  marital  status,  HIV  status, BMI,  BC  stage,  histologic  grade,  and  PR  status  were  significantly  associated  with  the  mortality  of  BC patients  after  surgery.  The  odds  of  death  increased  with the degree of severity across the levels of factors such as tumour size, lymph node status, BC stage and histologic  grade.  Also,  the  odds  ratio  for  mortality  increased   with   the   age   of   patients.   Additionally,   the odds of death were higher for HIV-positive and unmarried patients compared to the HIV-negative and married  ones.  Further,  the  odds  of  death  for  obese  or  overweight  patients  were  more  than  twice  that  of  those classified as not obese. Furthermore, the 5-year mortality of different age groups using multiple logistic regression stood at 75.4 per cent for the younger group (≤ 35 years) and 99 per cent for the older group (50",General,7/1/2024
Genetic Distance and Gene flow in Two Breeds of Nigerian Indigenous Goats Using Restriction Fragment Length Polymorphic Marker,Adetunmbi Tella,"Goats  constitute  an  indispensable  part  of  the  rural  agricultural   systems   because   of   their   capacity   to   withstand  severe  weather,  potential  to  yield  milk  and  meat,  fast  generation  times.  Additionaly,  they  can  withstand  the  substandard  diets  that  are  provided  by  restricted  grazing  on  marginal  soils.  Gene  flow, genetic  distance,  genotype  frequencies,  and  alleles  were  investigated  using  two  native  goat  breeds  from  Nigeria. The investigational goat populations included Red Sokoto (50) and WAD (45). For each animal, an ethylenediaminetetraacetic acid (EDTA) container was filled with approximately 5 milliliters of aseptic blood taken.  Polymorphism  of  restriction  fragment  length  and Agarose gel electrophoresis were carried out after the DNA samples were isolated and purified. Hardy-Weinberg equilibrium (HWE), gene allele frequency, anticipated  and  observed  heterozygousities  (He  and Ho,  respectively),  and  populations  were  compared based   on   their   genetic   distances.   The   degree   of   genetic diversity was great. According to the findings, Red Sokoto and WAD exhibited the highest genetic similarity  (0.9996)  and  the  lowest  genetic  distance  (0.0004) between the two populations. If more animals from  different  goat  breeds  are  collected,  improved genetic research and marker-assisted selections in goat improvement programmes would be achievable.",Veterinary Medicine,6/4/2024
"Antimicrobial, Physicochemical, Proximate and Heavy Metal Profiles of Selected Honey Samples from two Southwestern States in Nigeria",Titilayo Oyeronke Adesetan; Olusegun A Lawal; Funmilayo Mujidat Oyeyipo; Omolara Dorcas Popoola; Odunayo L. Orisasami; Beatrice O Oyekan,"Honey  consists  of  a  variety  of  sugars,  minerals, vitamins,  enzymes,  proteins,  phenolic  mixtures,  and organic components, which define if it is genuine or contaminated.  As  a  result,  this  work  was  undertaken  to examine the nutritional and heavy metal properties of  honeys  sold  in  two  Nigerian  states  in  the  South  west.  Samples  of  honey  were  taken  from  twenty  hives   in   two   southwestern   states   and   tested   for   antimicrobial, physicochemical, proximate, and heavy metal   characteristics   using   standard   recommended   procedures,  while  heavy  metals  were  detected  with  an  Atomic  Absorption  Spectrophotometer.    Zones  of  inhibition at 100% w/v for the test organisms are 10 – 28 mm for E. coli, 13 – 26 mm for Salmonella, 17 – 27 mm  for  Staphylococcus  aureus,  and  11  –  25  mm  for  Klebsiella  with  S.  aureus  being  more  sensitive  to  the  honey samples. The range of pH for physicochemical is 2.51 – 3.87, Total Titratable Acidity 0.07 – 0.53 %, Acidity  1.20  –  6.77%, and the ranges for proximate analyses  are  1.09  –  1.59%  protein,  7.10  –  11.37%  moisture,  0.33  –  0.63%  Ash,  0.20  –  0.30%  fat,  83.71  –  91.11% carbohydrate, and 342.95 – 371.20 kcal/g energy. There was a significant correlation recorded between   protein,   moisture,   ash,   fat,   carbohydrate,   and  energy  contents  of  the  honey  samples.  All  the  honey samples were negative for lead, chromium, and cadmium.  Copper  was  the  only  metal  found,  having  concentration ranges of 5.0 to 25.0 mg/kg. Because the  majority  of  the  samples  fulfilled  the  Codex Alimentarius Standard for honey, they can be taken or used therapeutically",Biomedical Sciences,6/4/2024
Analysis of the Socio-Economic and Cultural Factors Affecting Malaria Prevention in Provinces with High Malaria Prevalence in Zambia,Ellah Zingani; Kosamu Chupa; Chimbala A Mweshi; Evelyn Gondwe,"Malaria,   which   is   endemic   in   all   the   provinces   of    Zambia,  remains  one  of    the    leading  causes  of    morbidity and mortality. Records of the high prevalence of malaria is evident in Northern, Eastern, Muchinga and  Luapula  provinces,  despite  the  implementation  of malaria control and prevention strategies aimed at interrupting  the  disease  transmission,  which  includes  the  use  of  treated  mosquito  nets,  indoor  residual  spraying,  presumptive,  and  treatment  therapy  among  others. These provinces' socio-cultural and economic factors  were  explored  to  ascertain  if  they  might  contribute  to  the  altered  effectiveness  of  malaria control  interventions  that  have  proved  successful  in  other provinces. This study analysed the socio-cultural and economic factors affecting malaria prevention in provinces  with  high  malaria  prevalence  in  Zambia.  A  descriptive  cross-sectional  study  was  conducted.  An    interviewer-administered    questionnaire    was    administered to selective households in the four study provinces.1,580  people  participated  in  the  study,  with  a  response  rate  of  98.8%.  684  were  male,  and  896  were  female.  Findings  suggest  practices  and  beliefs  concerning   socio-cultural   and   economic   factors   influence the success of malaria control interventions in  the  provinces.  Low  levels  of  education  and  lack  of  it,  directly  impacted  the  understanding  of  malaria  prevention,   transmission,   and   interventions.   Self-medication,  use  of  leftover  medicines,  and  seeking  treatment late were attributed to low-income levels in all the four provinces. Type of housing and occupation exposed  individuals  to  malaria  infection.  Tailoring  malaria preventive measures to the socio-cultural and economic practices of the provinces will help reduce malaria cases in the provinces",Biomedical Sciences,6/24/2024
"Escherichia   coli   Contamination   Levels   of   Water   from   Unprotected  Wells  in  Chaona  Community, Mwachisompola Area of Chibombo District of Zambia",Doris Zgambo; Musso Munyeme; Emmanuel S. Kabwali; Lysa Thendji; Bernard Mudenda Hang’ombe,"A quantitative cross-sectional study was conducted to detect the presence of E. coli in unprotected water wells  of  Chaona  Community  in Mwachisompola  area, Chibombo   District   of   Zambia.   48   wells   drawn  from  four  villages  were  sampled  from  the  study   area.   Laboratory   processes   of   culturing,   isolation  and  identification  of E.  coli  confirmed the  occurrence  of  the  bacterium  in  well  water.  The identified E.  coli  was  subjected  to  antibiotic  resistance testing, and PCR was used to detect the resistant genes further. Of the 48 unprotected wells sampled,  38  (79%,  95%  CI:  77.3  –  80.7%)  were  found contaminated with E. coli. Meanwhile, 16/48 (33.3%;  CI:  31.4  –  35.2%)  samples  were  found  with an average CFU of between 1000 and 10,000, the  highest  range.  E.  coli  isolates  were  also  tested  for  Multi-Drug  Resistance  (MDR),  of  which  one  isolate indicated being resistant to eight antibiotics and another to five antibiotics presenting (5.88%; CI: 3.2 – 8.6%) for each. Meanwhile, seven isolates were  resistant  to  four  antibiotics  (41.2%;  CI:  35.5  – 46.9%), and eight isolates were resistant to three antibiotics (41.1%, CI: 35.4 – 46.9%). In addition, 30.9%  (17/55)  of  the  isolated  E.coli organisms  were found to be resistant to three or more classes of antibiotics primarily; Ampicillin, Streptomycin, Tetracycline, Cefotaxime, Nalidixic Acid, Norfloxacin, and Ciprofloxacin. The study revealed that E. coli contamination was highly possible, and it is recommended that water should be boiled and or treated with chlorine before use at the household level.",General,7/5/2024
"Detection of IgG Antibodies Against T. gondii and Associated Risk Factors in Domestic and stray Cats in Lusaka, Zambia",Farai Phiri; Careen Hankanga; Ntombi Mudenda; Ngonda Saasa; Mukubesa Andrew Nalishuwa,"Toxoplasma gondii (T.  gondii)  is  a  nearly ever present organism  that  infects  humans,  wildlife, birds, domestic and food animals. T. gondii has been reported in pigs, chickens, sheep, goats, and cattle. However, only members of the cat family (Felidae) are the definitive host and shed the environmentally resistant oocyst form of the organism in their faeces. Transmission to humans usually occurs by ingesting cysts in undercooked meat and exposure to soil and water  which  is  contaminated  by  oocysts.  Feline infections  are  typically  subclinical;  congenitally infected kittens are the ones that are most likely to have  clinical  signs  of  infection,  but  previously clinically healthy adult cats may also be affected. Despite the disease’s significance in public health, very  few  studies  have  been  done  on T.  gondii in Zambia. This study was a cross-sectional survey to investigate  the  seroprevalence  and  risk  factors  of Toxoplasmosis. A  survey  was  carried  out  using  a questionnaire that was distributed to cat owners who attended  the  veterinary  clinics.  The  questionnaire had demographic data for the cats, questions related to  the  risk  factors  of  Toxoplasmosis  in  cats,  and practices surrounding the cat owners, like how they handle  cat  litter,  whether  their  cat  was  indoor  or outdoor,  contact  of  the  cat  with  other  cats,  and straying behaviour of their cat. A total of178 blood samples  were  collected  from  both  stray  and domestic  cats  in  this  study.  Of  the  178  samples tested for T.  gondii  IgG  antibodies, 88 were from domestic cats and 90 from stray cats. Thirty out of 178 samples were positive for antibodies, indicating an  overall  seroprevalence  of  16.85%.  Of  the  30 positive seropositive samples, 60% (18) came from domestic  cats  and  40%  (12)  from  stray  cats. The seroprevalence for domestic cats was found to be 20.4% and that of strays 13.3%. The two risk factors found   to   be   associated   with toxoplasma Seropositivity  were  sex  (p=0.007,  95%,  CI 0.071,0.976)   and   diet   (p=0.038,   95%,   CI 1.395,95.418) It was concluded that Toxoplasma gondii was widely spread in the study population. The presence of the antibodies indicated that at one point in their lives, these  cats  were  actively  infected  and  shedding oocysts in the environment, thereby posing a risk to humans and other species like sheep and chickens.",Veterinary Medicine,7/16/2024
Comparative Study of Growth and Survival of Nile Tilapia (Oreochromis niloticus) and Three Spotted Tilapia (Oreochromis andersonii) Overwintered in Concrete Ponds in Zambia.,Jonas Wiza Ng'ambi; Manase Sanida,"This study aims to provide information on the growth of tilapia in winter nurseries.  This will help alleviate the adverse effects of the cold season on aquaculture in Zambia. In this study, Oreochromis niloticus (T1) and Oreochromis   andersonii (T2), with   initial mean weights of 2.12 ± 1.03 and 2.20 ± 1.03g   respectively   were   used.   The   fingerlings were stocked in six concrete ponds (7 × 5 m) at 6 fish/m2 (180   fish/pond),  in   three replications, which resulted in a total of 1080experimental fish. After 12 weeks of culture, the average weight gain (AWG) was 24.37 ±3.67 g for O. niloticus and 20.49 for ± 1.50for O. andersonii. There were no significant differences (P > 0.05) in the final weights (FW), average weight gain (AWG), specific growth rate (SGR), and survival rates of the two species. However, the food conversion ratio (FCR) for O. niloticus of 1.07 ± 0.11was significantly better (P < 0.05) than for O.andersonii   of   1.62   ±   0.10.   The   findings showed that O. andersonii can exhibit similar attributes as O. niloticus in terms of growth and survival in semi-intensive culture and by the end of the cold season, both species were overwintered to weights suitable for grow-out   culture.   Overwintering   of   late   spawn tilapia   may   help   provide   ready-to-stock fingerlings at the onset of the fish growing season in Zambia",Agriculture Sciences,4/10/2025
